addr,vote_option,myBank
cosmos1cl3swpzudwjpwmswcjldfz8gt2p3zy4wtl7esj,VOTE_OPTION_NO,223.902254
cosmos1enqzp9zv67jryk84v2d5fc7g6ykuzlay43jjk5,VOTE_OPTION_YES,220.527127
cosmos1zjdjtuu9fvfarmph2hacxgn87qg3dudwt902x3,VOTE_OPTION_YES,219.330383
cosmos19qc25l2nwztml9nvhqpg7y55420uvg59yur42v,VOTE_OPTION_YES,218.557062
cosmos1uylh8kd8vqc09f35eepplcsux6decgxkccm9e5,VOTE_OPTION_YES,211.246066
cosmos1fm60sc0xd64rsq8l89pf6hvtwwuywhy0w9287s,VOTE_OPTION_YES,209.225576
cosmos1kfc5gyquzwug4hg9ykeavauwpc2j5q0c3fj9t0,VOTE_OPTION_YES,208.368213
cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,VOTE_OPTION_YES,207.815407
cosmos1h4t209tuy4remh6f234uyd4syvpqykahrepcfj,VOTE_OPTION_YES,207.074183
cosmos13clq4rs47n0305wcg6dyau3rf7lthx7zzjquh5,VOTE_OPTION_YES,206.074401
cosmos1jc79ds5j3fep07e2dvpmlyqlxy8ehm6qju9apf,VOTE_OPTION_YES,204.840686
cosmos1kp22rcpkavm47tt7xahnjjxf4tjdlrf0z2zgst,VOTE_OPTION_YES,204.603754
cosmos1370fn26kj4r7780clfsuqxg5xrw2jf6632mat8,VOTE_OPTION_YES,204.286665
cosmos1v7y8ma66z72pa82gxt30tkqqpx3dkwqgjswjpp,VOTE_OPTION_YES,203.567555
cosmos1st9y369mkl6ymwftzyms60s9j8l92434e2m99t,VOTE_OPTION_YES,203.494254
cosmos1jhzdw3fq50u8luvk8te555lvm3mjp8mzu6249y,VOTE_OPTION_YES,202.375936
cosmos1n888kwezl5nu6s8zkva89sfftng04dedy703gu,VOTE_OPTION_YES,201.865152
cosmos16ryvjr8zuvxfaycwup3jgvgxthafzq0pt48rcz,VOTE_OPTION_YES,201.212839
cosmos1akqm5hfssu5v7g9pvkfd088tz66hpfy9w2har0,VOTE_OPTION_YES,200.438256
cosmos1yumemyzq7s8u8chzadct7twdhkxkt62tyt8shl,VOTE_OPTION_YES,200.426197
cosmos1ce99dwelwn0a4v650mpu32jmh5fkmqujmqc35j,VOTE_OPTION_YES,200.019491
cosmos1ufvcwvzcfzm3ft4u54kweuy8y9zz3llrup2vj0,VOTE_OPTION_YES,194.91886
cosmos16grx8tj802z35zzechc5rhvzzcdu3hvkxrfdq3,VOTE_OPTION_YES,193.804307
cosmos1vjhrm2njkpvfwmgv44w2syjkn65lrtra5x853u,VOTE_OPTION_YES,193.325188
cosmos1u753tf5t6hq9l8fq7wtsfsxc89955mvgsj5krk,VOTE_OPTION_YES,191.484854
cosmos12tpnwnvs0h3vr9dywg8t8vceyph37r7zvfr9ac,VOTE_OPTION_YES,190.222549
cosmos1n57657xenjkcr78pshw94hprhp3kagk5da20pj,VOTE_OPTION_YES,187.731949
cosmos1rgeq9jr90clpgt92e68afzn2sr0dj5tne9cm7k,VOTE_OPTION_YES,187.224353
cosmos1rpgtz9pskr5geavkjz02caqmeep7cwwpf29g2p,VOTE_OPTION_YES,186.531368
cosmos1axcp5enff8y3huz86u90shhh04d3the9ptdggm,VOTE_OPTION_YES,181.875957
cosmos1y4wzfnvak6fwdm934stksjt9g0gz8klm5jxnrg,VOTE_OPTION_YES,181.770618
cosmos1eh6ukje0t7n00cf3q0gfhvxnrgxc98wuqxr928,VOTE_OPTION_NO,178.624722
cosmos1tascup98m4hr58vsqmeswvqej42gjrqc79tmqh,VOTE_OPTION_YES,178.165252
cosmos1fhg5x5n0wdq8ewv8685jzstxvquc2xgvnfe9ey,VOTE_OPTION_YES,177.450845
cosmos1n595zw7zj2p3a287nuccyh0z6getw56qr2vysy,VOTE_OPTION_YES,175.187098
cosmos1hl5hpd2zfqadfeglfvu6vf4yh7xw3zvpw7kkgf,VOTE_OPTION_YES,172.895243
cosmos1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ladl29,VOTE_OPTION_YES,172.70436
cosmos1dkkgs64j0qq4zx85h4peaesh8dyev9anayf84y,VOTE_OPTION_YES,172.240907
cosmos12vq25496n4gqatssj6zq9eyx7cfc3lwjht4jng,VOTE_OPTION_YES,171.174775
cosmos1ut4nmmkcx4h3k56wzr55kz4fya9ukcv8s58ag0,VOTE_OPTION_YES,168.771208
cosmos1y8jzjhlvenq97y5g0u63lfvjmprpsh0jr8jsdd,VOTE_OPTION_NO,168.711799
cosmos1u8p5gz4cht0n889ecazyg5u776pe73fnk8pl7n,VOTE_OPTION_YES,168.344532
cosmos1hsveqcu47fhay5y9u4ld7agqrlxfvm3pm8cj8x,VOTE_OPTION_YES,163.941794
cosmos1qzl4cp6d9ldygjlusem6ew574je3dakrau0ap4,VOTE_OPTION_YES,162.884671
cosmos1rpm8dfd43mdx7pv503yfu9upfa8mq7vnlrrp9x,VOTE_OPTION_YES,161.662938
cosmos1fxw3azlpglvj7np276g09euu674m08csgj9hnf,VOTE_OPTION_YES,159.625048
cosmos14rt5w9u8xn8ty8axa4k5m9g64x8qsedr06hm9n,VOTE_OPTION_YES,159.209933
cosmos19fc22a6lqq5m37tsynt6jypt0e76r0j8fdz84m,VOTE_OPTION_YES,158.778054
cosmos10law7pxs0y8d6288z87steglmtl2vx3u9s43mz,VOTE_OPTION_YES,157.527468
cosmos1gcj6dduz4nde39xc28v3ftrwujxje3na57hapn,VOTE_OPTION_YES,156.603505
cosmos1ru8n0ryexq33uerw28wk9s9vrjwjtyazypq22k,VOTE_OPTION_YES,156.267723
cosmos15ytx6mflyrxynjerqlud6w646v6u3qvthlagl2,VOTE_OPTION_YES,153.723007
cosmos12gtmz5kerg3qdavqqnk5e8rfg73fhlxupyu3a7,VOTE_OPTION_NO,153.686572
cosmos1jrjt4eg8txy5mfce5ge87tug5lwvrf9cxy2dlw,VOTE_OPTION_YES,150.103776
cosmos1z4pak2ssenus02rjz2xthpcrr8qpzkhnnvqnk7,VOTE_OPTION_YES,149.623248
cosmos1fk8kdezh7fahg5hyf3cpquwvgcxf47qrxcpwsx,VOTE_OPTION_YES,147.651178
cosmos1gwqkt8rka8kg67x4f0jnsvw4hgv6rejgk4n3ve,VOTE_OPTION_YES,147.605512
cosmos19s7nrzxwlwwt4pdk4dnk9wltnr67w6sdewayt6,VOTE_OPTION_YES,147.594883
cosmos19pvdg6ut7n5kqzmsrxysln2cfedenw85t9canv,VOTE_OPTION_NO,147.421647
cosmos1qtsfauf578kfnkpmuljhjc8whkerju9727sz22,VOTE_OPTION_YES,143.870063
cosmos199mydewwq4zzrsvzeu72km0yp4us0ajjx77tjc,VOTE_OPTION_YES,141.624967
cosmos1xc8tjcmhfdn7ld2qgcc6s92r3wsp2x6hy5sfjc,VOTE_OPTION_NO_WITH_VETO,139.872382
cosmos1eft2h8uj00tepsdtg87888mqpwetd7zvlg5vx0,VOTE_OPTION_YES,138.931351
cosmos1jd475kc6wp630nsxcj83mlglcc582000xmpgel,VOTE_OPTION_YES,138.092514
cosmos1zfxhmd00fed46m47tcqm7uy4hfde8sudpmcunf,VOTE_OPTION_YES,137.400054
cosmos1yc444rq7wukvk75nghux5nncv256ulesvjgmxy,VOTE_OPTION_YES,136.806132
cosmos1hkkcuuff2287y4y6czcx3jxta0e30gwgqm4uxa,VOTE_OPTION_YES,136.50239
cosmos1tff5zpw5nnswjstemvr52krcmryvdhc0p7xdff,VOTE_OPTION_YES,136.447132
cosmos1ylzkt40u9jc9vywn2r0n6fv7t8grxmv3tsufh9,VOTE_OPTION_YES,136.383623
cosmos1aml479qvg88w05me69g2mvhevt9jzhz2vypc6p,VOTE_OPTION_YES,135.814991
cosmos16zs53whzuydl50pptd9cx8w5f22tfqa3pmdam6,VOTE_OPTION_YES,134.805384
cosmos1vv2nm8tvpyx88r07hx5x4zyctpkztp6yshl49q,VOTE_OPTION_NO_WITH_VETO,134.701135
cosmos1806t6zp5gt3frgmgscn548whckmfheu04cnyg0,VOTE_OPTION_ABSTAIN,133.600053
cosmos1r277pfc6tce8v3s4jl3k4jfntt44w56a69hpk9,VOTE_OPTION_YES,133.368509
cosmos1mylh2774pzp5tpxlhv65z2f834rkhj94v3pprr,VOTE_OPTION_YES,132.871982
cosmos1k0g7hacqf25ahx75x3p0dqsch73xk4me6knpqg,VOTE_OPTION_YES,131.846368
cosmos1uw4p7k9h6erv3vcmvlle3e35j9dclghfza8uj2,VOTE_OPTION_YES,131.692323
cosmos1z8xtct40ljrk585xgktpjlf5x63rv2z484v9lg,VOTE_OPTION_YES,130.634821
cosmos1j96vu4dyf8qvzstn50dgwc2032t7ny7m0ungwh,VOTE_OPTION_YES,130.187625
cosmos1v97agk4gkyytpphhymqxhh3aqvvra3vvddu7hh,VOTE_OPTION_ABSTAIN,129.815036
cosmos177g75apsnec9md3cyjssh0p5qcr8qajdalcjls,VOTE_OPTION_YES,126.120914
cosmos1jcx2j7jrwyr2r89p6ptjepcpmwmxvvwsgcucfn,VOTE_OPTION_YES,125.134985
cosmos1tycqlmve4m8j0lje6krgfw0nf68qfrkux40xej,VOTE_OPTION_YES,124.497087
cosmos1kz52h4gzja3tmerwwqstvfjhufztaf2m020k2m,VOTE_OPTION_YES,123.957111
cosmos1k4drxydzq8vz4x6wy5vk4je573tca0w92fduu9,VOTE_OPTION_YES,123.691148
cosmos1t34fwuzgdcxl37403wu8gx94mazl6lqtlx7vcj,VOTE_OPTION_YES,123.253565
cosmos17uwr4v9y2883d5ql3dr5wzw3uppt2yur38859f,VOTE_OPTION_YES,121.780352
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,VOTE_OPTION_YES,121.568575
cosmos16d8eespxzwtvh5q275s09prs8a89w9fynnwfmp,VOTE_OPTION_YES,121.173346
cosmos1zh0mvz5pcwdumxmfk2awwh0h93e2zphg70uqlr,VOTE_OPTION_YES,120.420034
cosmos1l6gz5zk8k8s87emf4q5jlr84gp3wq8x3y6lw7t,VOTE_OPTION_NO,120.215205
cosmos1pdvzuh3rhvdvs9s6gl2yjcx6nyx4ea9f5krrmk,VOTE_OPTION_YES,120.053851
cosmos1g5k9zhf85k54l8p6058a0xc0jcn6nz8dpjjfdp,VOTE_OPTION_YES,119.720121
cosmos1cycucyr0u8n60zvwc3sdzlgtk4tc74dyucdxfv,VOTE_OPTION_YES,119.552908
cosmos1493m62wqanv78w9c3emew84mjg5rawjsdpjqc4,VOTE_OPTION_YES,119.077518
cosmos1mhv799y0029rpjlu3j8vs8r23tyf7e498fqxqq,VOTE_OPTION_YES,117.392481
cosmos10cy7r8aqm6mnptc8xr4nekhh7r9tmw460lws4y,VOTE_OPTION_NO,117.354095
cosmos17h0p77udrhtz63t9jem4gu3v89nspzs7583ydz,VOTE_OPTION_YES,114.12202
cosmos1du6h94k2j6zsqhrmuzhyxe3sy6lt95j2hga3h5,VOTE_OPTION_YES,113.789058
cosmos1u0ljqruvle6rhc3elx309j7e4ukpw506e39xc9,VOTE_OPTION_YES,113.157661
cosmos1n4f32h7gmf94k9jn5unse6dce08mdvjjkepqy2,VOTE_OPTION_YES,112.96802
cosmos1s7erd6h93pqk35yfwptlstwpprpsn488a2v9k7,VOTE_OPTION_YES,112.418583
cosmos10tdzve88uxc535vc7qavy0ddcfftxct7x2hamt,VOTE_OPTION_YES,111.262151
cosmos1gzr8qv7dp3dzx0a6mya78z5jr3qfeyt99xhzm2,VOTE_OPTION_YES,110.896608
cosmos1k3gu4prsv6uzk2alt8f8w3uhyayqem209avnkq,VOTE_OPTION_ABSTAIN,110.852766
cosmos1ux02hxf36ty3rkj4rlkulnzf0lfjgavq45uaxu,VOTE_OPTION_YES,110.66988
cosmos154w02faj2ndxg2nmd8rnn0ng4kfahn379fpg3q,VOTE_OPTION_YES,110.223111
cosmos16lp20w4j8qu3nvw2q0h0vrwa7dlur2apf6efs2,VOTE_OPTION_YES,109.133213
cosmos1mz6dlm8prpjmajydjkerf7twus47ql23wmcg43,VOTE_OPTION_NO,108.225109
cosmos1dyauv3hyerfe3yuntshd3320gdyty3ahcwck8f,VOTE_OPTION_YES,108.217059
cosmos1lej6xrlu6rvt5544dxgw2w235xy3dkgx36dwt3,VOTE_OPTION_YES,108.209183
cosmos167nckr9add3qrmxfzfmw05s2zdszx3udwzsy2w,VOTE_OPTION_YES,108.174868
cosmos1v6expa8wl0256vmsznu6lvphlq5a5rr63jrmkz,VOTE_OPTION_YES,108.149872
cosmos18v5q7gqat8ukh040exz8xjmgs8p2ml33f3z4dp,VOTE_OPTION_YES,108.069383
cosmos1708ljdlmke3x97a8f3pjr484vghd8lmjtq05xr,VOTE_OPTION_YES,108.018763
cosmos1jzqfg3rq8hdav6wfcmrdk5l47y8wdwxxp67ale,VOTE_OPTION_YES,107.889233
